year,manufacturer,fuelType,name,transmission,engine,mileage,listingPrice,variant,age
1999.0,Suzuki,Petrol,Suzuki Mehran 1999 for sale in Karachi,Manual,800cc,"11,000 km",500000.0,Mehran,26.0
2022.0,Suzuki,Petrol,Suzuki Swift 2022 for sale in Karachi,Automatic,1200cc,"30,000 km",4300000.0,Swift,3.0
2015.0,Toyota,Petrol,Toyota Corolla 2015 for sale in Karachi,Automatic,1300cc,"95,000 km",3500000.0,Corolla,10.0
2021.0,Toyota,Petrol,Toyota Corolla 2021 for sale in Karachi,Automatic,1598cc,"38,922 km",5270000.0,Corolla,4.0
2019.0,Nissan,Hybrid,Nissan Serena 2019 for sale in Karachi,Automatic,1200cc,"59,150 km",7000000.0,Serena,6.0
2012.0,Mitsubishi,Petrol,Mitsubishi Mirage 2012 for sale in Karachi,Automatic,1000cc,"100,000 km",2050000.0,Mirage,13.0
2019.0,Daihatsu,Petrol,Daihatsu Hijet 2019 for sale in Karachi,Automatic,660cc,"99,000 km",2380000.0,Hijet,6.0
2021.0,Honda,Petrol,Honda City 2021 for sale in Karachi,Automatic,1300cc,"60,000 km",4200000.0,City,4.0
2011.0,Toyota,Petrol,Toyota Corolla 2011 for sale in Karachi,Manual,1300cc,"120,000 km",2400000.0,Corolla,14.0
2024.0,Haval,Hybrid,Haval H6 2024 for sale in Karachi,Automatic,1500cc,"10,000 km",11275000.0,H6,1.0
2020.0,Daihatsu,Petrol,Daihatsu Rocky 2020 for sale in Karachi,Automatic,1000cc,"75,000 km",5690000.0,Rocky,5.0
2012.0,Toyota,Petrol,Toyota Prado 2012 for sale in Karachi,Automatic,4000cc,"57,000 km",20500000.0,Prado,13.0
2006.0,Toyota,Petrol,Toyota Prado 2006 for sale in Karachi,Automatic,2700cc,"97,000 km",7700000.0,Prado,19.0
2017.0,Honda,Petrol,Honda Civic 2017 for sale in Karachi,Automatic,1800cc,"79,000 km",4750000.0,Civic,8.0
2014.0,Honda,Hybrid,Honda Vezel 2014 for sale in Karachi,Automatic,1500cc,"102,000 km",3925000.0,Vezel,11.0
2021.0,Honda,Petrol,Honda Civic 2021 for sale in Karachi,Automatic,1800cc,"42,000 km",5550000.0,Civic,4.0
2022.0,Nissan,Petrol,Nissan Dayz 2022 for sale in Karachi,Automatic,660cc,"9,765 km",3950000.0,Dayz,3.0
2023.0,Nissan,Petrol,Nissan Dayz 2023 for sale in Karachi,Automatic,660cc,"5,920 km",4550000.0,Dayz,2.0
2020.0,Toyota,Petrol,Toyota Corolla 2020 for sale in Karachi,Automatic,1800cc,"40,000 km",6000000.0,Corolla,5.0
2022.0,Daihatsu,Petrol,Daihatsu Mira 2022 for sale in Karachi,Automatic,660cc,"14,000 km",3695000.0,Mira,3.0
2020.0,Suzuki,Petrol,Suzuki Every 2020 for sale in Karachi,Automatic,660cc,"62,377 km",2900000.0,Every,5.0
2021.0,Suzuki,Petrol,Suzuki Every 2021 for sale in Karachi,Automatic,660cc,"67,472 km",3000000.0,Every,4.0
2020.0,Daihatsu,Petrol,Daihatsu Hijet 2020 for sale in Karachi,Automatic,660cc,"131,377 km",2550000.0,Hijet,5.0
2009.0,Honda,Petrol,Honda Civic 2009 for sale in Karachi,Manual,1800cc,"92,000 km",2195000.0,Civic,16.0
